lp_deal_id,deal_id,name,download_speed,monthly_price,new_line_price,total_first_year_cost,full_contract_cost,min_contract_length,limit,supplier_id,supplier_name
1934770059986577994,30459,Be150,150.0,30.0,0,288.0,432.0,18,99999,255,BeFibre
4102140181543798600,33530,Be150 (12m),150.0,30.0,0,288.0,288.0,12,99999,255,BeFibre
9840303560243366198,30460,Be500,500.0,35.0,0,336.0,504.0,18,99999,255,BeFibre
4410473646066635655,30461,Be900,900.0,32.0,0,336.0,528.0,18,99999,255,BeFibre
4163365288842897212,33531,Be500 (12m),500.0,35.0,0,336.0,336.0,12,99999,255,BeFibre
14142021026625018239,33532,Be900 (12m),900.0,32.0,0,336.0,336.0,12,99999,255,BeFibre
10621064498648325155,31813,200 Full Fibre,200.0,32.95,0,395.4,395.4,12,99999,250,Zzoomm
3683288268301629795,30480,Full Fibre 100,150.0,34.99,34,359.88,815.76,24,99999,135,BT
17494167824814936679,32516,Fibre 2,74.0,34.99,34,359.88,815.76,24,99999,135,BT
6132677640862480045,34626,Full Fibre 300,300.0,37.99,34,395.88,887.76,24,99999,135,BT
5813672003722715751,30484,Full Fibre 500,500.0,44.99,34,479.88,1055.76,24,99999,135,BT
14079046457385150923,30740,C-500,500.0,42.0,60,504.0,1008.0,24,99999,235,Cuckoo
15753564900760989122,37853,Be2300,2300.0,50.0,0,525.0,825.0,18,99999,255,BeFibre
11319146978401602600,37854,Be2300 (12m),2300.0,50.0,0,525.0,525.0,12,99999,255,BeFibre
7218683726163812480,30488,Full Fibre 900,900.0,49.99,34,539.88,1175.76,24,99999,135,BT
5151308387877269933,30743,C-900,900.0,46.0,60,552.0,1104.0,24,99999,235,Cuckoo
10493968001163599915,36149,LightSpeed 150 Mbps,17.0,24.99,0,155.88,455.76,24,99999,292,Lightspeed
3396437382807280404,35140,5G airConnect ,100.0,28.0,0,168.0,504.0,24,99999,282,Quickline
8401846874973378864,34982,Connect,200.0,29.0,0,174.0,522.0,24,99999,282,Quickline
11248109358203299804,35141,5G airUltra,200.0,29.0,0,174.0,522.0,24,99999,282,Quickline
15911415871861418914,36150,LightSpeed 500 Mbps,67.0,29.99,0,179.88,539.76,24,99999,292,Lightspeed
11055151258841361788,34597,Superfast 200,200.0,41.5,0,204.0,306.0,18,99999,225,Gigaclear
6144134832210816029,29087,Three 4G Hub  (24m),10.0,19.0,0,228.0,516.0,24,99999,181,Three
1659861148754591608,29088,Three 5G Hub (24m),150.0,19.0,0,228.0,516.0,24,99999,181,Three
13879120579911103470,34600,Ultrafast 500,500.0,54.0,0,228.0,342.0,18,99999,225,Gigaclear
10813672565163780334,34906,BetterNet150,150.0,19.0,0,228.0,456.0,24,99999,279,Brsk
18323277599624831897,37266,M250 Broadband Only,264.0,25.99,0,233.91,389.85,18,99999,152,Virgin Media
4566161353058523848,30832,Full Fibre 100,106.0,29.99,0,239.88,359.82,18,99999,251,Fibrus
2286450033498882259,30833,Full Fibre 150,159.0,24.99,0,239.88,359.82,18,99999,251,Fibrus
3791963920828239170,37268,M500 Broadband Only,516.0,29.99,0,269.91,449.85,18,99999,152,Virgin Media
18397079762656627453,37265,M125 Broadband Only,132.0,48.0,0,275.88,413.82,18,99999,152,Virgin Media
5142663616373102038,32989,Full Fibre 80 CityFibre,80.0,36.0,60,276.0,642.0,24,99999,154,Vodafone
9318376131248354275,35578,YouFibre Ultrafast Full Fibre Broadband - You 150,150.0,23.99,60,287.88,431.82,18,99999,236,YouFibre
2217463902115587479,32978,Fibre 1,35.0,31.0,60,288.0,666.0,24,99999,154,Vodafone
3220284248975909461,31741,Full-Fibre 150,150.0,29.95,50,299.4,24.95,1,99999,238,wightfibre
16014717653774846717,31815,500 Full Fibre ,500.0,34.95,0,299.4,299.4,12,99999,250,Zzoomm
14298111791057746765,30834,Full Fibre 500 - Total Home Wifi,518.0,34.99,0,299.88,449.82,18,99999,251,Fibrus
9443130196016443421,31348,Truespeed 150,150.0,45.0,0,300.0,300.0,12,99999,237,Truespeed
15781385261522318569,31637,Full Fibre 150 CityFibre,150.0,39.0,60,300.0,690.0,24,99999,154,Vodafone
7524207061432022130,32979,Fibre 2,67.0,36.0,60,300.0,690.0,24,99999,154,Vodafone
17991881948604705370,32981,Full Fibre 74,74.0,36.0,60,300.0,690.0,24,99999,154,Vodafone
5529381134780502399,34907,BetterNet500,500.0,25.0,0,300.0,600.0,24,99999,279,Brsk
3224491011035844697,31745,Full-Fibre 300,300.0,30.95,50,311.4,25.95,1,99999,238,wightfibre
15981232457282200627,34633,ADSL,20.5,25.99,0,311.88,623.76,24,99999,265,V4 Consumer
3769907567015108825,35217,Fibre,66.0,30.0,50,311.88,719.76,24,99999,178,Plusnet
8639798247262484594,31629,Full Fibre 150,150.0,39.0,60,312.0,714.0,24,99999,154,Vodafone
14797270232512168728,31147,Full Fibre 74,74.0,37.03,50,323.88,743.76,24,99999,178,Plusnet
5995699669160866416,31149,Full Fibre 145,145.0,43.2,50,323.88,743.76,24,99999,178,Plusnet
14597190973707465143,31749,Full-Fibre 500,500.0,35.95,50,371.4,30.95,1,99999,238,wightfibre
14815677367374442833,31753,Full-Fibre 900,900.0,41.95,50,443.4,36.95,1,99999,238,wightfibre
14938155589767083384,32511,Fibre 1,50.0,35.99,34,403.87,871.75,24,99999,135,BT
13727949366687185860,35954,Fibre 2 +Pay As You Go,74.0,39.99,34,453.87,969.75,24,99999,135,BT
898496268677864655,35955,Full Fibre 100 +Pay As You Go,150.0,39.99,34,453.87,969.75,24,99999,135,BT
7071013063525439076,35953,Fibre 1 +Pay As You Go,50.0,37.99,34,497.86,1025.74,24,99999,135,BT
7273388801009414626,36151,LightSpeed 1 Gigabit,145.0,39.99,0,179.88,659.76,24,99999,292,Lightspeed
3082376339023725854,34983,Extra  ,500.0,39.0,0,234.0,702.0,24,99999,282,Quickline
15896902378623056680,35427,NOW Full Fibre 75,75.0,43.0,60,269.0,533.0,24,99999,217,NOW Broadband
13253271236885656862,35428,NOW Superfast,61.0,43.0,60,269.0,533.0,24,99999,217,NOW Broadband
4767724286857743484,33729,NOW Full Fibre 100,100.0,44.0,60,293.0,581.0,24,99999,217,NOW Broadband
645589420305942109,37269,Gig1 Broadband Only,1130.0,34.99,0,314.91,524.85,18,99999,152,Virgin Media
10235972381654200803,34634,Fibre 40,34.2,27.99,0,335.88,671.76,24,99999,265,V4 Consumer
13312385473498203396,34636,Full Fibre 40,34.2,27.99,0,335.88,671.76,24,99999,265,V4 Consumer
10987723701584271012,35579,YouFibre Ultrafast Full Fibre Broadband - You 500,500.0,27.99,60,335.88,503.82,18,99999,236,YouFibre
11232077258747926714,28904,Full Fibre 65,77.0,32.0,60,336.0,558.0,18,99999,148,TalkTalk
5142781995023584017,28920,Full Fibre 65 CityFibre,77.0,28.0,60,336.0,558.0,18,99999,148,TalkTalk
4097538525179495787,29083,Three 5G Hub  (1m),150.0,28.0,0,336.0,28.0,1,99999,181,Three
10286015324074141802,31761,Full Fibre 100 CityFibre,106.0,28.0,60,336.0,504.0,18,99999,153,Zen
2681412205622637492,32926,Fibre 35,38.0,32.0,60,336.0,558.0,18,99999,148,TalkTalk
2742764877580752700,32928,Fibre 65,67.0,32.0,60,336.0,558.0,18,99999,148,TalkTalk
825483088786176995,35226,Lit 100 - 24m,150.0,28.0,0,336.0,672.0,24,99999,288,Lit Fibre
14979880876194173151,34635,Fibre 80,68.4,28.99,0,347.88,695.76,24,99999,265,V4 Consumer
15164989288786483048,34637,Full Fibre 80,68.4,28.99,0,347.88,695.76,24,99999,265,V4 Consumer
2708783181533761909,28906,Full Fibre 150,152.0,33.0,60,348.0,576.0,18,99999,148,TalkTalk
7231569570318685899,28922,Full Fibre 150 CityFibre,152.0,29.0,60,348.0,576.0,18,99999,148,TalkTalk
18019449081876045938,31352,Truespeed 300,300.0,55.0,0,348.0,348.0,12,99999,237,Truespeed
10559468428892515346,34602,Hyperfast 900,830.0,82.0,0,348.0,522.0,18,99999,225,Gigaclear
582194252749406677,35155,BetterNet150 + BetterTV,150.0,29.0,0,348.0,696.0,24,99999,279,Brsk
5854644908774708007,28928,Fast Broadband,11.0,29.95,60,359.4,593.1,18,99999,148,TalkTalk
11591755765492164109,31817,1 Gig Full Fibre,1000.0,39.95,0,359.4,359.4,12,99999,250,Zzoomm
12723771649558337984,31151,Full Fibre 300,300.0,49.38,50,359.88,815.76,24,99999,178,Plusnet
4647938649004291487,31332,Trooli Essential,150.0,29.99,60,359.88,719.76,24,99999,243,Trooli Broadband
13120730261477466619,31338,Trooli Superior,900.0,29.99,60,359.88,719.76,24,99999,243,Trooli Broadband
2170283735557772007,32507,Fibre Essential,36.0,34.99,34,359.88,815.76,24,99999,135,BT
13596395006543363158,33638,Seedling (24m),67.0,29.99,0,359.88,719.76,24,99999,264,Earth Broadband
17330010366695548310,33639,Seedling (24m),76.0,29.99,0,359.88,719.76,24,99999,264,Earth Broadband
7693117462586288066,33642,Seedling (12m),67.0,29.99,0,359.88,359.88,12,99999,264,Earth Broadband
3879351658041073623,33643,Seedling (12m),76.0,29.99,0,359.88,359.88,12,99999,264,Earth Broadband
12138930608507737140,35580,YouFibre Ultrafast Full Fibre Broadband - You 1000,900.0,29.99,60,359.88,539.82,18,99999,236,YouFibre
5990229081765969523,37272,M125 Fibre Broadband +Home Phone,132.0,62.0,0,359.88,539.82,18,99999,152,Virgin Media
2794202580151445360,37288,Bigger Combo Bundle,362.0,39.99,0,359.91,599.85,18,99999,152,Virgin Media
6487883873204646294,31631,Full Fibre 500,500.0,51.0,60,360.0,810.0,24,99999,154,Vodafone
13295760573338950901,33825,Be150 (30 days),150.0,30.0,0,360.0,30.0,1,99999,255,BeFibre
10979218288627282577,34908,BetterNet1000,900.0,30.0,0,360.0,720.0,24,99999,279,Brsk
10229075585695792422,35223,Lit 100 - 18m,150.0,30.0,0,360.0,540.0,18,99999,288,Lit Fibre
5265962114824793511,31639,Full Fibre 500 CityFibre,500.0,51.0,60,372.0,834.0,24,99999,154,Vodafone
7358074156253787163,31640,Full Fibre 910 CityFibre,910.0,58.0,60,372.0,834.0,24,99999,154,Vodafone
3352649677228048197,35019,Full Fibre 80 CityFibre + Super Wifi ,1800.0,45.0,60,372.0,834.0,24,99999,154,Vodafone
9699760137426338643,31153,Full Fibre 500,500.0,58.02,50,383.88,863.76,24,99999,178,Plusnet
12929126144373679159,31356,Truespeed 600,600.0,65.0,0,384.0,384.0,12,99999,237,Truespeed
18310341084770652192,31762,Full Fibre 300 CityFibre,300.0,32.0,60,384.0,576.0,18,99999,153,Zen
14951778746915478629,35013,Fibre 1 + Super Wifi ,35.0,42.0,60,384.0,858.0,24,99999,154,Vodafone
5037762404917641578,35227,Lit 500 - 24m,500.0,32.0,0,384.0,768.0,24,99999,288,Lit Fibre
5798010088811333687,35014,Fibre 2 + Super Wifi ,67.0,45.0,60,396.0,882.0,24,99999,154,Vodafone
16373002634471781313,35015,Full Fibre 74 + Super Wifi ,73.0,45.0,60,396.0,882.0,24,99999,154,Vodafone
3341093433822522013,35020,Full Fibre 150 CityFibre + Super Wifi ,150.0,48.0,60,396.0,882.0,24,99999,154,Vodafone
14352953532117185421,33640,Sapling (24m),109.0,33.99,0,407.88,815.76,24,99999,264,Earth Broadband
10553742893067822544,33644,Sapling (12m),109.0,33.99,0,407.88,407.88,12,99999,264,Earth Broadband
10441457821999932409,35016,Full Fibre 150 + Super Wifi ,150.0,48.0,60,408.0,906.0,24,99999,154,Vodafone
5114981653324836335,35224,Lit 500 - 18m,500.0,34.0,0,408.0,612.0,18,99999,288,Lit Fibre
9209404367951668788,30835,Full Fibre 1000 - Total Home Wifi,982.0,59.99,0,419.88,629.82,18,99999,251,Fibrus
6315789106279124669,31336,Trooli Extra,500.0,34.99,60,419.88,839.76,24,99999,243,Trooli Broadband
8375894545676876040,34638,Full Fibre 115,98.3,34.99,0,419.88,839.76,24,99999,265,V4 Consumer
10783617137277194375,35714,NOW Full Fibre 300,300.0,43.0,60,353.0,701.0,24,99999,217,NOW Broadband
